Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap,Cut size,Cluster 1 size,Cluster 2 size
3,4,0,0.0,0.0,0.0,168,0.522907,1.58774,1,4.0,1.0
53,160,46,0.2875,0.0413281,0.575,57,0.487937,1.69717,1,94.0,5.0
2,2,0,0.0,0.0,0.0,49,0.452232,0.878373,1,94.0,7.0
4,6,0,0.0,0.0,0.0,27,0.592846,1.87339,1,158.0,5.0
48,174,58,0.333333,0.0555556,0.666667,58,0.539302,1.61791,1,2.0,1.0
35,114,46,0.403509,0.0814097,0.807018,34,0.472277,1.17043,1,1051.0,1.0
2,2,0,0.0,0.0,0.0,1083,0.823183,3.72711,1,2.0,1.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,21.0,21.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,22.0,12.0
3,9,5,0.555556,0.154321,1.11111,2,0.698634,1.25754,1,91.0,4.0
36,131,55,0.419847,0.0881359,0.839695,38,0.498545,1.18744,1,1.0,1.0
275,1914,578,0.301985,0.0455976,0.603971,668,0.740138,2.45091,1,1.0,1.0
4,8,2,0.25,0.03125,0.5,3,0.830482,3.32193,1,31.0,19.0
74,387,187,0.483204,0.116743,0.966408,100,0.522219,1.08074,1,60.0,12.0
5,12,4,0.333333,0.0555556,0.666667,4,0.741303,2.22391,1,121.0,4.0
156,908,306,0.337004,0.056786,0.674009,301,0.652276,1.93551,1,17.0,2.0
43,146,40,0.273973,0.0375305,0.547945,53,0.569481,2.07861,1,27.0,27.0
3,7,3,0.428571,0.0918367,0.857143,2,0.788863,1.84068,1,105.0,2.0
99,423,139,0.328605,0.0539907,0.65721,142,0.546138,1.66199,1,403.0,3.0
48,181,79,0.436464,0.0952505,0.872928,51,0.470616,1.07825,1,7.0,4.0
71,219,65,0.296804,0.0440462,0.593607,77,0.463377,1.56122,1,116.0,4.0
35,120,22,0.183333,0.0168056,0.366667,49,0.673342,3.67277,1,6.0,1.0
339,2483,381,0.153443,0.0117724,0.306887,1051,0.913201,5.95138,1,145.0,1.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,430.0,2.0
131,592,146,0.246622,0.0304111,0.493243,223,0.61403,2.48977,1,136.0,4.0
2,2,0,0.0,0.0,0.0,43,0.454942,0.880213,1,116.0,2.0
833,9990,3880,0.388388,0.0754228,0.776777,3055,0.916966,2.36095,1,2.0,1.0
84,413,171,0.414044,0.085716,0.828087,121,0.550651,1.32994,1,2.0,1.0
72,402,200,0.497512,0.123759,0.995025,101,0.538654,1.0827,1,3.0,1.0
54,200,48,0.24,0.0288,0.48,76,0.611642,2.54851,1,12.0,9.0
123,644,224,0.347826,0.0604915,0.695652,210,0.607827,1.7475,1,60.0,11.0
5,11,3,0.272727,0.0371901,0.545455,4,0.768202,2.81674,1,1.0,1.0
113,607,233,0.383855,0.0736723,0.76771,187,0.594594,1.54901,1,138.0,2.0
2,2,0,0.0,0.0,0.0,3984,1.02809,2.65798,1,231.0,2.0
30,124,42,0.33871,0.0573621,0.677419,41,0.652839,1.92743,1,1.0,1.0
2,2,0,0.0,0.0,0.0,1067,0.969216,4.29447,1,101.0,6.0
188,1304,478,0.366564,0.0671847,0.733129,413,0.705173,1.92373,1,84.0,8.0
2,5,3,0.6,0.18,1.2,1,0.715338,1.19223,1,345.0,6.0
386,2981,663,0.222409,0.0247328,0.444817,1159,0.864214,3.8857,1,6.0,3.0
92,507,215,0.424063,0.0899148,0.848126,146,0.586674,1.38346,1,31.0,23.0
59,174,34,0.195402,0.019091,0.390805,70,0.529531,2.70995,1,97.0,9.0
390,2350,770,0.32766,0.0536804,0.655319,790,0.60089,1.83389,1,491.0,1.0
2,2,0,0.0,0.0,0.0,7,0.592368,1.11069,1,7.0,6.0
351,2819,807,0.286272,0.0409758,0.572543,1006,0.83073,2.90189,1,1.0,1.0
179,1047,265,0.253104,0.0320308,0.506208,391,0.72331,2.85776,1,43.0,22.0
354,2683,879,0.327618,0.0536669,0.655237,902,0.743163,2.26838,1,59.0,6.0
44,165,75,0.454545,0.103306,0.909091,45,0.461211,1.01466,1,810.0,1.0
2,4,2,0.5,0.125,1.0,1,0.830482,1.66096,1,2.0,1.0
135,655,205,0.312977,0.0489773,0.625954,225,0.591805,1.89089,1,35.0,5.0
142,837,339,0.405018,0.0820198,0.810036,249,0.599961,1.48132,1,25.0,22.0
888,14726,5946,0.403776,0.0815174,0.807551,4390,1.18608,2.93748,1,191.0,4.0
3,12,8,0.666667,0.222222,1.33333,2,0.617752,0.926628,1,34.0,18.0
38,120,38,0.316667,0.0501389,0.633333,41,0.518929,1.63872,1,179.0,2.0
331,2111,827,0.391757,0.076737,0.783515,642,0.583421,1.48924,1,105.0,5.0
60,237,77,0.324895,0.0527782,0.649789,80,0.561463,1.72814,1,46.0,7.0
3,10,6,0.6,0.18,1.2,2,0.666667,1.11111,1,2.0,1.0
363,5193,2255,0.434238,0.0942815,0.868477,1469,1.0892,2.5083,1,83.0,8.0
28,109,29,0.266055,0.0353926,0.53211,40,0.701165,2.63541,1,26.0,1.0
83,433,147,0.339492,0.0576274,0.678984,143,0.65348,1.92488,1,4.0,1.0
328,2734,906,0.331383,0.0549072,0.662765,914,0.810808,2.44674,1,1.0,1.0
52,193,91,0.471503,0.111157,0.943005,51,0.429116,0.910103,1,103.0,4.0
60,259,135,0.521236,0.135843,1.04247,62,0.428183,0.821477,1,92.0,9.0
2,2,0,0.0,0.0,0.0,431,0.665725,1.28277,1,29.0,21.0
48,234,130,0.555556,0.154321,1.11111,52,0.457254,0.823057,1,1.0,1.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,1.0,1.0
42,205,101,0.492683,0.121368,0.985366,52,0.535565,1.08704,1,908.0,4.0
43,158,64,0.405063,0.0820381,0.810127,47,0.497132,1.2273,1,33.0,9.0
30,118,58,0.491525,0.120799,0.983051,30,0.482653,0.981949,1,36.0,10.0
29,124,46,0.370968,0.0688085,0.741935,39,0.642406,1.7317,1,125.0,8.0
972,15762,4514,0.286385,0.0410082,0.57277,5624,1.3784,4.81312,1,36.0,22.0
67,441,225,0.510204,0.130154,1.02041,108,0.609559,1.19473,1,19.0,7.0
131,679,309,0.455081,0.103549,0.910162,185,0.498686,1.09582,1,119.0,6.0
184,1557,631,0.405267,0.0821205,0.810533,463,0.788245,1.945,1,2.0,1.0
121,604,250,0.413907,0.0856596,0.827815,177,0.525994,1.2708,1,1.0,1.0
249,2511,995,0.396256,0.0785096,0.792513,758,0.895386,2.25961,1,197.0,2.0
95,731,133,0.181943,0.0165515,0.363885,299,1.09897,6.04022,1,248.0,2.0
57,311,161,0.517685,0.133999,1.03537,75,0.527844,1.01962,1,107.0,1.0
2,2,0,0.0,0.0,0.0,109,0.553767,1.05888,1,86.0,5.0
3,7,3,0.428571,0.0918367,0.857143,2,0.788863,1.84068,1,333.0,3.0
179,1855,871,0.469542,0.110235,0.939084,492,0.840977,1.79106,1,22.0,19.0
119,628,158,0.251592,0.0316494,0.503185,235,0.705796,2.80532,1,33.0,14.0
56,207,89,0.429952,0.0924292,0.859903,59,0.454916,1.05806,1,64.0,11.0
65,228,86,0.377193,0.0711373,0.754386,71,0.463248,1.22814,1,79.0,8.0
2,2,0,0.0,0.0,0.0,69,0.448971,1.85711,1,98.0,5.0
5,10,2,0.2,0.02,0.4,4,0.8,4.0,1,235.0,4.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,4.0,1.0
94,538,224,0.416357,0.0866765,0.832714,157,0.611624,1.46899,1,28.0,9.0
182,1168,532,0.455479,0.103731,0.910959,318,0.569612,1.25058,1,3.0,1.0
58,270,114,0.422222,0.0891358,0.844444,78,0.553117,1.31001,1,71.0,6.0
53,233,113,0.484979,0.117602,0.969957,60,0.478202,0.986028,1,107.0,5.0
341,3868,1644,0.425026,0.0903235,0.850052,1112,0.908992,2.13867,1,3.0,1.0
2,2,0,0.0,0.0,0.0,72,0.522252,2.50131,1,63.0,11.0
6,13,3,0.230769,0.0266272,0.461538,5,0.748093,3.24174,1,1.0,1.0
5,10,2,0.2,0.02,0.4,4,0.8,4.0,1,777.0,1.0
3,4,0,0.0,0.0,0.0,438,0.691642,2.06551,1,47.0,1.0
50,203,81,0.399015,0.0796064,0.79803,61,0.528712,1.32504,1,144.0,5.0
110,720,364,0.505556,0.127793,1.01111,178,0.566326,1.12021,1,130.0,4.0
312,5067,2211,0.436353,0.0952019,0.872706,1428,1.23542,2.83124,1,2.0,1.0
186,992,338,0.340726,0.058047,0.681452,327,0.586704,1.72192,1,136.0,7.0
268,1536,522,0.339844,0.0577469,0.679688,507,0.59371,1.74701,1,53.0,9.0
89,335,103,0.307463,0.0472667,0.614925,116,0.516177,1.67883,1,2.0,1.0
190,1460,662,0.453425,0.102797,0.906849,399,0.663643,1.46362,1,1.0,1.0
2,2,0,0.0,0.0,0.0,262,0.584292,1.09543,1,595.0,3.0
92,424,196,0.462264,0.106844,0.924528,114,0.471625,1.02025,1,428.0,2.0
14,40,14,0.35,0.06125,0.7,13,0.579611,1.65603,1,211.0,6.0
2,2,0,0.0,0.0,0.0,6590,1.17894,3.07642,2,58.0,7.0
58,224,100,0.446429,0.0996492,0.892857,62,0.454831,1.01882,1,2.0,1.0
66,321,117,0.364486,0.066425,0.728972,102,0.616577,1.69164,1,98.0,5.0
301,1810,492,0.271823,0.0369439,0.543646,659,0.672064,2.47243,1,75.0,3.0
105,492,198,0.402439,0.0809786,0.804878,147,0.520066,1.29229,1,322.0,3.0
17,64,28,0.4375,0.0957031,0.875,18,0.586223,1.33994,1,126.0,4.0
4,6,0,0.0,0.0,0.0,33,0.506153,1.28304,1,313.0,2.0
20,56,18,0.321429,0.0516582,0.642857,19,0.54342,1.69064,1,144.0,7.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,2.0,1.0
104,488,160,0.327869,0.053749,0.655738,164,0.586561,1.78901,1,6.0,1.0
62,216,84,0.388889,0.0756173,0.777778,66,0.456002,1.17258,1,99.0,1.0
118,607,255,0.420099,0.0882415,0.840198,176,0.535905,1.27566,1,1.0,1.0
72,240,82,0.341667,0.0583681,0.683333,79,0.460977,1.3492,1,188.0,5.0
257,2347,1139,0.4853,0.117758,0.970601,604,0.697281,1.4368,1,202.0,3.0
293,1809,689,0.380873,0.0725323,0.761747,560,0.586738,1.54051,1,70.0,16.0
83,395,135,0.341772,0.0584041,0.683544,130,0.603199,1.76492,1,3.0,1.0
70,498,258,0.518072,0.134199,1.03614,120,0.635573,1.2268,1,40.0,3.0
237,1929,637,0.330223,0.0545236,0.660446,646,0.829669,2.51245,1,196.0,4.0
99,726,368,0.506887,0.128467,1.01377,179,0.631989,1.2468,1,82.0,7.0
138,1124,572,0.508897,0.129488,1.01779,276,0.655573,1.28822,1,2.0,1.0
123,619,219,0.353796,0.062586,0.707593,200,0.582449,1.64628,1,1.0,1.0
4,7,1,0.142857,0.0102041,0.285714,3,0.887471,6.2123,1,235.0,1.0
127,658,226,0.343465,0.0589841,0.68693,216,0.603496,1.75708,1,188.0,4.0
580,3883,745,0.191862,0.0184055,0.383724,1569,0.753705,3.92837,1,29.0,26.0
380,3846,1308,0.340094,0.0578318,0.680187,1269,0.93151,2.73898,1,14.0,1.0
97,424,180,0.424528,0.0901121,0.849057,122,0.478705,1.12762,1,116.0,4.0
61,201,79,0.393035,0.0772382,0.78607,61,0.434179,1.10468,1,1.0,1.0
156,1093,515,0.47118,0.111005,0.94236,289,0.609673,1.29393,1,54.0,33.0
2,2,0,0.0,0.0,0.0,97,0.443603,0.859346,1,103.0,3.0
44,141,45,0.319149,0.050928,0.638298,48,0.507584,1.59043,1,4.0,1.0
53,277,147,0.530686,0.140814,1.06137,65,0.502119,0.94617,1,337.0,3.0
57,260,100,0.384615,0.0739645,0.769231,80,0.581169,1.51104,1,10.0,8.0
234,1270,362,0.285039,0.0406237,0.570079,454,0.625095,2.19301,1,224.0,2.0
54,235,117,0.497872,0.123938,0.995745,59,0.460802,0.925542,1,3.0,1.0
3,4,0,0.0,0.0,0.0,683,0.709189,1.85973,1,55.0,7.0
77,375,95,0.253333,0.0320889,0.506667,140,0.706356,2.78825,1,50.0,16.0
55,207,81,0.391304,0.0765595,0.782609,63,0.494589,1.26395,1,1.0,1.0
76,338,128,0.378698,0.0717062,0.757396,105,0.546313,1.44261,1,1.0,1.0
69,212,42,0.198113,0.0196244,0.396226,85,0.529538,2.67291,1,475.0,2.0
4,6,0,0.0,0.0,0.0,5,0.77219,4.63314,1,4.0,3.0
246,1621,617,0.380629,0.0724393,0.761258,502,0.63576,1.67029,1,54.0,16.0
91,342,100,0.292398,0.0427482,0.584795,121,0.524726,1.79456,1,20.0,12.0
145,714,292,0.408964,0.0836256,0.817927,211,0.509925,1.24687,1,1.0,1.0
16,54,24,0.444444,0.0987654,0.888889,15,0.541159,1.21761,1,87.0,13.0
4,6,0,0.0,0.0,0.0,16,0.615718,1.51131,1,106.0,5.0
4,7,1,0.142857,0.0102041,0.285714,3,0.887471,6.2123,1,1.0,1.0
2,4,2,0.5,0.125,1.0,1,0.830482,1.66096,1,1.0,1.0
5,8,0,0.0,0.0,0.0,3,0.887471,6.2123,1,414.0,3.0
60,242,100,0.413223,0.0853767,0.826446,71,0.496403,1.2013,1,122.0,4.0
60,315,165,0.52381,0.137188,1.04762,75,0.500338,0.955191,1,17.0,17.0
12,26,4,0.153846,0.0118343,0.307692,11,0.647833,4.21092,1,24.0,4.0
33,107,31,0.28972,0.0419687,0.579439,38,0.567421,1.95852,1,90.0,4.0
149,906,208,0.229581,0.0263536,0.459161,349,0.79208,3.45012,1,2.0,1.0
3,8,4,0.5,0.125,1.0,2,0.738206,1.47641,1,1.0,1.0
60,261,113,0.43295,0.0937229,0.8659,74,0.51035,1.17877,1,285.0,2.0
39,142,64,0.450704,0.101567,0.901408,39,0.464622,1.03088,1,80.0,6.0
26,77,27,0.350649,0.0614775,0.701299,25,0.509697,1.45358,1,97.0,12.0
45,227,125,0.550661,0.151614,1.10132,51,0.481036,0.873561,1,178.0,4.0
224,1772,732,0.413093,0.0853227,0.826185,520,0.714624,1.72994,1,1.0,1.0
55,293,63,0.215017,0.0231162,0.430034,115,0.847597,3.942,1,102.0,2.0
259,2553,933,0.365452,0.0667777,0.730905,810,0.917924,2.51175,1,374.0,1.0
103,685,371,0.541606,0.146668,1.08321,157,0.537531,0.992477,1,239.0,3.0
7,13,1,0.0769231,0.00295858,0.153846,6,0.769467,10.0031,1,209.0,5.0
4,6,0,0.0,0.0,0.0,79,0.49687,1.03092,1,20.0,17.0
75,424,190,0.448113,0.100403,0.896226,117,0.593751,1.325,1,165.0,2.0
79,287,95,0.33101,0.054784,0.662021,96,0.494405,1.49362,1,6.0,3.0
508,6353,2149,0.338265,0.0572117,0.676531,2102,1.08804,3.21653,1,280.0,2.0
2,2,0,0.0,0.0,0.0,49,0.553717,1.73337,1,2.0,1.0
132,1027,621,0.604674,0.182815,1.20935,203,0.510657,0.844516,1,138.0,6.0
227,1388,528,0.380403,0.0723534,0.760807,430,0.602813,1.58467,1,426.0,3.0
60,208,44,0.211538,0.0223743,0.423077,82,0.589573,2.78707,1,87.0,6.0
5,11,3,0.272727,0.0371901,0.545455,4,0.768202,2.81674,1,11.0,1.0
254,3340,1188,0.355689,0.0632572,0.711377,1076,1.20219,3.3799,1,126.0,5.0
54,332,176,0.53012,0.140514,1.06024,78,0.572933,1.08076,1,1999.0,1.0
63,272,110,0.404412,0.0817744,0.808824,81,0.528108,1.30587,1,66.0,4.0
30,120,60,0.5,0.125,1.0,30,0.480959,0.961917,1,24.0,21.0
135,872,302,0.34633,0.0599723,0.692661,285,0.717939,2.07299,1,1.0,1.0
51,197,91,0.461929,0.106689,0.923858,53,0.452923,0.980503,1,2.0,1.0
49,207,89,0.429952,0.0924292,0.859903,59,0.519904,1.20921,1,4.0,1.0
65,219,87,0.39726,0.0789079,0.794521,66,0.433843,1.09209,1,2.0,1.0
50,175,71,0.405714,0.082302,0.811429,52,0.463657,1.14282,1,1.0,1.0
4,9,3,0.333333,0.0555556,0.666667,3,0.785964,2.35789,1,200.0,1.0
5,8,0,0.0,0.0,0.0,154,0.602578,1.62233,1,136.0,4.0
3,4,0,0.0,0.0,0.0,85,0.721851,2.20034,1,1.0,1.0
2,2,0,0.0,0.0,0.0,8,0.782011,4.95274,1,124.0,4.0
116,658,252,0.382979,0.0733364,0.765957,203,0.620958,1.62139,1,30.0,13.0
50,145,29,0.2,0.02,0.4,58,0.536697,2.68349,1,126.0,4.0
2,2,0,0.0,0.0,0.0,775,0.77207,2.42043,1,42.0,23.0
2,2,0,0.0,0.0,0.0,186,0.526792,1.85089,1,252.0,3.0
20,64,22,0.34375,0.059082,0.6875,21,0.581337,1.69116,1,1.0,1.0
5,11,3,0.272727,0.0371901,0.545455,4,0.768202,2.81674,1,32.0,15.0
329,2694,874,0.324425,0.0526257,0.648849,910,0.806308,2.48535,1,23.0,14.0
305,2119,789,0.372345,0.0693206,0.744691,665,0.655515,1.7605,1,1.0,1.0
487,3630,1134,0.312397,0.0487958,0.624793,1248,0.719858,2.30431,1,200.0,6.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,228.0,3.0
126,820,396,0.482927,0.116609,0.965854,212,0.577436,1.1957,1,135.0,3.0
98,540,228,0.422222,0.0891358,0.844444,156,0.58258,1.37979,1,102.0,7.0
264,2024,676,0.333992,0.0557754,0.667984,674,0.772192,2.31201,1,147.0,4.0
88,412,64,0.15534,0.0120652,0.31068,174,0.756157,4.86776,1,58.0,8.0
77,255,91,0.356863,0.0636755,0.713725,82,0.442517,1.24002,1,215.0,5.0
42,184,92,0.5,0.125,1.0,46,0.483588,0.967175,1,89.0,5.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,17.0,15.0
159,930,236,0.253763,0.0321979,0.507527,347,0.735187,2.89714,1,140.0,4.0
3,4,0,0.0,0.0,0.0,258,0.558299,1.44471,1,229.0,4.0
49,183,77,0.420765,0.0885216,0.84153,53,0.47808,1.13622,1,18.0,8.0
4,8,2,0.25,0.03125,0.5,3,0.830482,3.32193,1,50.0,12.0
66,353,165,0.467422,0.109242,0.934844,94,0.559014,1.19595,1,2.0,1.0
2,2,0,0.0,0.0,0.0,144,0.501256,1.2378,1,526.0,2.0
190,1808,836,0.462389,0.106902,0.924779,486,0.785305,1.69836,1,1.0,1.0
51,215,77,0.35814,0.064132,0.716279,69,0.580054,1.61963,1,100.0,6.0
198,1914,570,0.297806,0.0443441,0.595611,672,1.03413,3.47248,1,21.0,18.0
86,415,133,0.320482,0.0513543,0.640964,141,0.626243,1.95407,1,501.0,1.0
10,20,2,0.1,0.005,0.2,9,0.69176,6.9176,1,58.0,9.0
13,40,6,0.15,0.01125,0.3,17,0.816257,5.44171,1,238.0,2.0
175,1069,453,0.423761,0.0897865,0.847521,308,0.581054,1.37119,1,1.0,1.0
10,31,13,0.419355,0.0879292,0.83871,9,0.603475,1.43906,1,1.0,1.0
110,516,184,0.356589,0.0635779,0.713178,166,0.556316,1.5601,1,24.0,21.0
41,137,53,0.386861,0.0748308,0.773723,42,0.479422,1.23926,1,1.0,1.0
134,917,439,0.478735,0.114594,0.95747,239,0.60208,1.25765,1,231.0,3.0
120,423,127,0.300236,0.0450709,0.600473,148,0.469601,1.56411,1,1.0,1.0
56,283,155,0.547703,0.149989,1.09541,64,0.466132,0.851068,1,42.0,10.0
2,2,0,0.0,0.0,0.0,426,0.682063,1.6927,1,160.0,7.0
87,592,266,0.449324,0.100946,0.898649,163,0.67581,1.50406,1,37.0,22.0
182,945,259,0.274074,0.0375583,0.548148,343,0.633392,2.31103,1,54.0,4.0
382,2285,679,0.297155,0.0441507,0.594311,803,0.625831,2.10607,1,2.0,1.0
124,1015,153,0.150739,0.0113611,0.301478,431,1.15611,7.66962,1,307.0,3.0
2,2,0,0.0,0.0,0.0,201,0.619939,1.27063,1,18.0,3.0
418,4751,1521,0.320143,0.0512458,0.640286,1615,1.05082,3.28234,1,42.0,20.0
2,7,5,0.714286,0.255102,1.42857,1,0.591647,0.828306,1,35.0,14.0
318,3220,1490,0.462733,0.107061,0.925466,865,0.775438,1.67578,1,1.0,1.0
472,5684,2122,0.373329,0.0696871,0.746657,1781,1.00497,2.69191,1,41.0,17.0
222,1218,410,0.336617,0.0566556,0.673235,404,0.589769,1.75205,1,38.0,26.0
71,503,293,0.582505,0.169656,1.16501,105,0.547413,0.939757,1,3.0,1.0
109,386,120,0.310881,0.0483234,0.621762,133,0.471735,1.51741,1,31.0,7.0
4,7,1,0.142857,0.0102041,0.285714,3,0.887471,6.2123,1,78.0,11.0
95,442,140,0.316742,0.0501628,0.633484,151,0.600839,1.89694,1,46.0,18.0
575,5552,2086,0.37572,0.0705829,0.751441,1733,0.804902,2.14229,1,36.0,14.0
521,5326,1296,0.243335,0.0296059,0.486669,2015,1.03788,4.26524,1,47.0,4.0
3,5,1,0.2,0.02,0.4,2,0.953784,4.76892,1,1.0,1.0
10,24,6,0.25,0.03125,0.5,9,0.652074,2.6083,1,76.0,8.0
5,8,0,0.0,0.0,0.0,147,0.558691,1.42319,1,211.0,1.0
3,5,1,0.2,0.02,0.4,2,0.953784,4.76892,1,632.0,1.0
146,1134,680,0.599647,0.179788,1.19929,227,0.508999,0.84883,1,36.0,17.0
36,93,11,0.11828,0.00699503,0.236559,41,0.578562,4.89148,1,1.0,1.0
270,1137,173,0.152155,0.0115755,0.30431,482,0.584203,3.83953,1,2.0,1.0
189,742,176,0.237197,0.0281312,0.474394,283,0.521653,2.19924,1,3.0,2.0
4,8,2,0.25,0.03125,0.5,3,0.830482,3.32193,1,96.0,6.0
2,2,0,0.0,0.0,0.0,119,0.567169,1.65577,1,1.0,1.0
43,206,108,0.524272,0.13743,1.04854,49,0.492481,0.939361,1,27.0,26.0
2,3,1,0.333333,0.0555556,0.666667,1,1.04795,3.14385,1,23.0,20.0
124,940,324,0.344681,0.0594024,0.689362,308,0.83544,2.42381,1,154.0,2.0
3,4,0,0.0,0.0,0.0,498,0.607225,2.75189,1,71.0,10.0
367,2539,235,0.0925561,0.00428332,0.185112,1152,0.921961,9.9611,1,137.0,6.0
